Computer Science BA,,,,,,,,
,,,,,,,,
Freshman Year,,,,,,,,
Fall Semester,,Cr.,Spring Semester,,Cr.,Summer Semester,,Cr.
CS 110,Introduction to Computing,4,CS 210,Computer Programming for Engineers,4,,,
MATH 140,Calculus 1 ,4,MATH 141,Calculus II,4,,,
113G***,First Year Seminar,4,ENGL 102,English 102,3,,,
ENGL 101,English 101,3,GEN ED,General Education,3,,,
,,,ELECTIVE,Elective Course,3,,,
Sophomore Year,,,,,,,,
Fall Semester,,Cr.,Spring Semester,,Cr.,Summer Semester,,Cr.
CS 240,Programming in C,3,CS 310,Advanced Data Structures and Algorithms,3,,,
CS 220,Applied Discrete Mathematics,3,CS 341,Computer Architecture and Organization,3,,,
MATH 260,Linear Algebra,3,GEN ED,General Education,3,,,
114G***,Intermediate Seminar,3,GEN ED,General Education,3,,,
GEN ED,General Education ,3,ELECTIVE,Elective Course,3,,,
,,,,,,,,
Junior Year,,,,,,,,
Fall Semester,,Cr.,Spring Semester,,Cr.,Summer Semester,,Cr.
CS 420,An Introduction to the Theory of Computation,3,CS ELECTIVE,CS Elective,3,,,
CS ELECTIVE,CS Elective,3,CS 444/451,An Introduction to Operating Systems/Compilers I,3,,,
GEN ED,General Education ,3,GEN ED,General Education,3,,,
ELECTIVE,Elective Course,3,ELECTIVE,Elective Course,3,,,
ELECTIVE,Elective Course,3,ELECTIVE,Elective Course,3,,,
,,,,,,,,
Senior Year,,,,,,,,
Fall Semester,,Cr.,Spring Semester,,Cr.,Summer Semester,,Cr.
MATH/CS ELECTIVE,Math/CS Elective,3,CS 450,The Structure of Higher Level Languages,3,,,
GEN ED,General Education ,3,GEN ED,General Education,3,,,
GEN ED,General Education ,3,GEN ED,General Education,3,,,
ELECTIVE,Elective Course,3,ELECTIVE,Elective Course,3,,,
ELECTIVE,Elective Course,3,ELECTIVE,Elective Course,3,,,
,,,,,,,,
Total Minimum Credits = 122,,,,,,,,
UCC Title Text ,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Title (),,,,,,,,
Seminar I,,,,,,,,
Seminar II,,,,,,,,
Gen Ed core requirements,,,,,,,,
Writing proficiency requirements,The Writing Proficiency Requirement (WPR) is recommended to be completed at 60-75 credits. Please consult the WPR website: www.umb.edu/academics/vpass/undergraduate_studies/writing_proficiency,X,,,,,,
0,Freshman Year Total,,,,Complete,,,
0,Sophomore Year Total,,,,In Progress,,,
0,Junior Year Year Total,,,,Incomplete,,,
0,Senior Year Total,,,,Percentage To Grad,,,
Total,,,,,Total,,,
 ,,,,,,,,
What and Why WPE?,,,,,,,,
Explain text,,,,,,,,
,,,,,,,,
,,,,,,,,
FLog,,,CBL,,,,,
UMaL,,,EIL,,,,,